system,basis,SHCI,uncertainty
h,2z,-0.4992784034196,0.0
h,3z,-0.4998098113018,0.0
h,4z,-0.499945568583,0.0
h,5z,-0.4999945351589,0.0
li,2z,-7.432419879663,0.0
li,3z,-7.432678855847301,0.0
li,4z,-7.4326951382435,0.0
li,5z,-7.4327226353053,0.0
be,2z,-14.616842593115484,0.0
be,3z,-14.61842701186015,0.0
be,4z,-14.618950731321249,6.039613253960853e-14
be,5z,-14.619077507138504,2.818348221467204e-09
c,2z,-37.76066140203668,0.0
c,3z,-37.78116924738265,8.287985053812008e-08
c,4z,-37.78694788219155,2.1147827311551734e-07
c,5z,-37.788616127195844,3.601752212034626e-07
n,2z,-54.47855094808725,6.88421408767681e-09
n,3z,-54.51486860828902,1.8985745953159486e-07
n,4z,-54.52501230829995,4.7498634359044455e-07
n,5z,-54.52810096153636,4.350836348976373e-07
o,2z,-74.91006463897476,1.1613821015998838e-08
o,3z,-74.97416857728572,2.9743183915798e-07
o,4z,-74.99381369643946,1.045744980388008e-06
o,5z,-75.00033914279813,1.1108126898307093e-06
f,2z,-99.52773502052123,7.969660487106012e-09
f,3z,-99.62053611154958,3.4558733830181154e-07
f,4z,-99.65046299750252,3.9650659289236495e-07
f,5z,-99.66081880304749,2.4210238080968347e-06
na,2z,-161.8530266434527,0.0
na,3z,-161.85799594392282,0.0
na,4z,-161.8586764450346,0.0
na,5z,-161.858882,0.0
si,2z,-288.9155256163625,0.0
si,3z,-288.93388495205846,2.688420863705687e-08
si,4z,-288.93837070483465,5.369186624193389e-07
si,5z,-288.9396557389549,2.4803176756904566e-07
p,2z,-340.79168826886087,0.0
p,3z,-340.82184312715736,2.6214621584585984e-07
p,4z,-340.82875902400826,1.564343392601586e-07
p,5z,-340.83085319656624,4.477547577153018e-07
s,2z,-397.60091422134803,2.3390953174384777e-08
s,3z,-397.65417716008284,1.659931569975015e-06
s,4z,-397.6680401100096,1.7998530665863655e-06
s,5z,-397.67222701445365,3.6930541114088564e-06
cl,2z,-459.59913797339965,6.243260486371581e-08
cl,3z,-459.67256053585714,1.2556141086861314e-06
cl,4z,-459.6942079047268,1.0443553208006053e-05
cl,5z,-459.70082705197456,2.935287113814411e-06
li_h,2z,-8.014358466118416,0.0
li_h,3z,-8.022302449356395,1.153885875737615e-10
li_h,4z,-8.023909093090127,4.9579295335888673e-08
li_h,5z,-8.024351189783747,1.4058674224770584e-09
be_h,2z,-15.188437776918585,3.3929978826563456e-09
be_h,3z,-15.195905154583528,1.3253893449416412e-07
be_h,4z,-15.198359980582635,2.466598107986329e-07
be_h,5z,-15.198869081137225,2.2268489630050678e-07
c_h,2z,-38.38025307248943,3.2098903801625056e-07
c_h,3z,-38.41106576926569,2.115002317282233e-06
c_h,4z,-38.4194894066743,2.3427282727084275e-06
c_h,5z,-38.42196570949492,2.8157485374435964e-06
c_h2_triplet,2z,-39.04166793924304,1.6918223195716562e-06
c_h2_triplet,3z,-39.07834157773071,3.088617951618744e-06
c_h2_triplet,4z,-39.0878136854477,3.4613788031379045e-06
c_h2_triplet,5z,-39.09053222847089,3.895142064891388e-06
c_h2_singlet,2z,-39.02289720285325,4.3171547048359566e-07
c_h2_singlet,3z,-39.062396422660115,2.1583858256235544e-06
c_h2_singlet,4z,-39.07293234013802,4.609443557512805e-06
c_h2_singlet,5z,-39.07603045271495,9.662450857206295e-06
c_h3,2z,-39.71612796100412,1.0141565809362874e-06
c_h3,3z,-39.76150859053422,5.649987734557271e-06
c_h3,4z,-39.772960599014546,1.05714741280849e-05
c_h3,5z,-39.77629579257732,1.2020916926758215e-05
c_h4,2z,-40.38737419508231,1.2149418985529794e-05
c_h4,3z,-40.43861773402711,3.305619275550953e-05
c_h4,4z,-40.451386295659844,4.428329892647298e-05
c_h4,5z,-40.45501061450564,1.683904832106009e-05
n_h,2z,-55.09166908028599,4.921361735910067e-07
n_h,3z,-55.141118544786046,8.335074639376217e-07
n_h,4z,-55.155034332846384,1.6111689689068953e-06
n_h,5z,-55.159392752960606,5.201016598732622e-06
n_h2,2z,-55.733113767714,2.433706605131647e-06
n_h2,3z,-55.79417373484618,3.7599347280092835e-06
n_h2,4z,-55.81137064064042,1.0402119180241698e-05
n_h2,5z,-55.8168337928151,7.72631896239773e-06
n_h3,2z,-56.40247687620448,5.784510321404922e-06
n_h3,3z,-56.47363394407086,4.856933777830363e-06
n_h3,4z,-56.49349996226387,1.8012713809412162e-05
n_h3,5z,-56.49991046651567,5.996838685717876e-05
o_h,2z,-75.55969041755277,3.4467619514089165e-07
o_h,3z,-75.63813594333199,4.301689230601369e-06
o_h,4z,-75.66206855977167,3.808787354842025e-06
o_h,5z,-75.6700271924222,4.1166245381418776e-06
h2_o,2z,-76.24166946152931,1.7203535662702054e-06
h2_o,3z,-76.33261029487801,1.9039773064832843e-06
h2_o,4z,-76.36018684173865,9.642355706773742e-06
h2_o,5z,-76.36938530779736,1.80701138248196e-05
h_f,2z,-100.22864018485821,5.634343409610665e-07
h_f,3z,-100.33860747196128,2.5600527351343767e-06
h_f,4z,-100.37341675527789,1.5705405758126292e-06
h_f,5z,-100.38537587029516,6.643866413469367e-06
si_h2_singlet,2z,-290.13802160762725,1.8819925458046784e-06
si_h2_singlet,3z,-290.17164194607653,2.8999829169151785e-06
si_h2_singlet,4z,-290.1809752643235,4.902248008420428e-06
si_h2_singlet,5z,-290.1839213666335,1.2797734711966768e-06
si_h2_triplet,2z,-290.1081608968557,1.0202793987446057e-06
si_h2_triplet,3z,-290.1395480610017,9.694475124888413e-07
si_h2_triplet,4z,-290.1486928789226,1.8750844787973613e-06
si_h2_triplet,5z,-290.1513494096917,5.361806984183204e-06
si_h3,2z,-290.74875782414426,1.5209273556138212e-06
si_h3,3z,-290.7873189236882,4.559426372452435e-06
si_h3,4z,-290.7987232821856,1.3777107255918963e-05
si_h3,5z,-290.8021610561245,8.774547097800678e-06
si_h4,2z,-291.39318323307475,3.184044487625215e-06
si_h4,3z,-291.4381516390395,1.806339417953496e-05
si_h4,4z,-291.4515606955987,1.3213768966124915e-05
si_h4,5z,-291.4557167316765,1.834966121805337e-05
p_h2,2z,-342.00905777966733,1.7793449273995063e-06
p_h2,3z,-342.0575772669812,4.287527019641857e-06
p_h2,4z,-342.07085545019294,1.597281652720995e-05
p_h2,5z,-342.0751694335458,4.6780051548012125e-06
p_h3,2z,-342.6380538513027,7.1078499104260135e-06
p_h3,3z,-342.69352665378364,2.602894085157459e-06
p_h3,4z,-342.7091216600561,1.6354178058008983e-05
p_h3,5z,-342.7143450548151,4.0072658521239646e-05
h2_s,2z,-398.86551956628944,2.6085364197570016e-06
h2_s,3z,-398.9364091574969,8.386382091885025e-06
h2_s,4z,-398.9566398132811,5.568161327573762e-06
h2_s,5z,-398.96328703940827,5.421064656729868e-06
h_cl,2z,-460.2549892890326,7.763082976453006e-07
h_cl,3z,-460.3380209658837,2.287330858052884e-06
h_cl,4z,-460.36307255204804,1.1319346526761365e-06
h_cl,5z,-460.3710759561345,4.549599282199779e-06
li2,2z,-14.90054725426568,0.0
li2,3z,-14.903161904021912,0.0
li2,4z,-14.903673820903153,0.0
li2,5z,-14.903796054774293,0.0
li_f,2z,-107.15554124510972,4.675917466556712e-07
li_f,3z,-107.26376537769306,6.036575257439836e-07
li_f,4z,-107.30032314741152,2.9783753774381694e-06
li_f,5z,-107.31230734156969,1.681636034334133e-05
c2_h2,2z,-77.11057384518455,9.491214271406534e-06
c2_h2,3z,-77.18881666659045,2.4572305278525164e-05
c2_h2,4z,-77.21049194070234,1.1813086786105487e-05
c2_h2,5z,-77.21687371883525,1.1747676097684234e-05
c2_h4,2z,-78.35588036909999,4.81024e-05
c2_h4,3z,-78.4398389278,4.30469e-05
c2_h4,4z,-78.4626868508,8.84941e-05
c2_h4,5z,-78.4693782381,5.43041e-05
c2_h6,2z,-79.58310216069334,8.315945080994425e-05
c2_h6,3z,-79.6754659045833,0.00018951036690850745
c2_h6,4z,-79.69974377086024,0.00019453586388351599
c2_h6,5z,-79.70714336976494,0.0006834126767785165
c_n,2z,-92.49327929092993,3.643582715540105e-06
c_n,3z,-92.56992486196822,9.215847768473397e-06
c_n,4z,-92.5940930342305,4.087980755684839e-06
c_n,5z,-92.60144512410194,1.4866116757161764e-05
h_c_n,2z,-93.18988417813952,7.190780067389824e-06
h_c_n,3z,-93.27651066009085,1.0121476435642762e-05
h_c_n,4z,-93.30262683634842,1.5142282322244684e-05
h_c_n,5z,-93.3106476201699,8.827998421168104e-05
c_o,2z,-113.05638048038959,4.016898444092476e-06
c_o,3z,-113.15675779212765,5.8985402091593625e-06
c_o,4z,-113.18898087097106,8.436272295853087e-06
c_o,5z,-113.199155945277,1.1616875212894229e-06
h_c_o,2z,-113.5776515808,4.029e-06
h_c_o,3z,-113.68540799629999,4.08472e-05
h_c_o,4z,-113.7191610492,1.89795e-05
h_c_o,5z,-113.72986027700001,0.0004087769
h2_c_o,2z,-114.2196776531971,9.148047595886057e-06
h2_c_o,3z,-114.33491928834411,1.344972729100391e-05
h2_c_o,4z,-114.37010598212751,7.945122618480127e-06
h2_c_o,5z,-114.38130738087006,3.294072165260786e-05
h3_c_o_h,2z,-115.4210293277143,2.7316002473298803e-06
h3_c_o_h,3z,-115.551639498993,9.251922705288962e-06
h3_c_o_h,4z,-115.59001795536959,0.002047386213661184
h3_c_o_h,5z,-115.60211564155979,0.00011642388712118645
n2,2z,-109.27696624442845,1.5670740083351118e-06
n2,3z,-109.37529859279891,6.982574021208165e-06
n2,4z,-109.40582662890185,3.795589009314426e-06
n2,5z,-109.41556544824726,2.801121695483744e-06
n2_h4,2z,-111.5710695308248,3.973107152432931e-05
n2_h4,3z,-111.69958165450399,0.0001608569453424025
n2_h4,4z,-111.73690204009016,0.0008198210121719285
n2_h4,5z,-111.7493767797464,0.0015248964087533068
n_o,2z,-129.59992451348694,1.1492793134948442e-06
n_o,3z,-129.71851573679993,1.414877775118839e-05
n_o,4z,-129.75612172003315,8.304351496235539e-06
n_o,5z,-129.76851246118937,5.40157480486414e-05
o2,2z,-149.98778890058207,4.702324645222689e-06
o2,3z,-150.13069860188685,8.387847003632487e-06
o2,4z,-150.1756693291181,2.474782718309143e-06
o2,5z,-150.19074981518338,0.0002306053307847833
h2_o2,2z,-151.195410841039,9.299741776658266e-06
h2_o2,3z,-151.35987577588998,3.8452352896456425e-05
h2_o2,4z,-151.40946009022954,0.00032551602120634016
h2_o2,5z,-151.42621266619233,0.0010552682332445331
f2,2z,-199.0993683699105,4.3203978066230775e-06
